id	antiHormonal_20m_ESR1_letrozole_2m_1	antiHormonal_20m_ESR1_letrozole_2m_2	antiHormonal_20m_ESR1_tamoxifen_2m_3	antiHormonal_20m_CYP19A1_letrozole_2m_2	antiHormonal_18m_ESR1_no_3	antiHormonal_20m_ESR1_no_2	antiHormonal_20m_CYP19A1_no_1	aging_12m_ESR1_no_3	aging_24m_CYP19A1_12m_1	antiHormonal_20m_ESR1_letrozole_2m_3	aging_12m_CYP19A1_no_2	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_30m_CYP19A1_18m_2	antiHormonal_20m_CYP19A1_no_3	aging_30m_CYP19A1_18m_1	aging_24m_ESR1_12m_2	aging_24m_ESR1_6m_1	aging_12m_ESR1_no_2	aging_12m_CYP19A1_1w_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	antiHormonal_18m_ESR1_no_1	aging_24m_CYP19A1_12m_3	aging_30m_ESR1_18m_3	aging_18m_ESR1_no_2	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_18m_ESR1_no_3	aging_24m_ESR1_12m_3	aging_30m_ESR1_18m_2	aging_18m_ESR1_1w_3	aging_24m_ESR1_no_1	antiHormonal_20m_ESR1_tamoxifen_2m_1	aging_24m_ESR1_12m_1	aging_18m_ESR1_1w_2	antiHormonal_18m_CYP19A1_no_3	aging_24m_CYP19A1_no_2	aging_12m_ESR1_no_1	aging_12m_ESR1_1w_2	aging_18m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_3	aging_18m_CYP19A1_1w_3	aging_24m_CYP19A1_6m_1	aging_18m_CYP19A1_no_1	aging_18m_CYP19A1_no_3	aging_12m_CYP19A1_no_3	aging_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_1	aging_18m_ESR1_no_1	aging_24m_CYP19A1_6m_2	aging_24m_ESR1_no_2	aging_24m_ESR1_6m_2	aging_24m_ESR1_6m_3	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_18m_CYP19A1_no_1	aging_24m_CYP19A1_6m_3	aging_18m_ESR1_1w_1	aging_30m_CYP19A1_18m_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_24m_CYP19A1_no_3	aging_24m_CYP19A1_no_1	aging_12m_ESR1_1w_1	aging_12m_ESR1_1w_3	aging_24m_CYP19A1_12m_2	aging_30m_ESR1_18m_1	antiHormonal_20m_CYP19A1_letrozole_2m_3	antiHormonal_20m_ESR1_no_3	aging_24m_ESR1_no_3	antiHormonal_18m_ESR1_no_2	aging_18m_CYP19A1_1w_1	aging_12m_CYP19A1_no_1	antiHormonal_20m_CYP19A1_no_2	aging_12m_CYP19A1_1w_2
chr2:144097259-144099115:-														1									1											1		1		1									1																					1				
chr15:71709176-71764088:-																																									1																															
chr1:169825499-169834433:-																																										1			1							1																				
chr17:64280059-64385970:+																																														1																										
chr11:21303348-21303456:-			1																																																																					
chr2:91596791-91640554:+																																						1																																		
chr1:54444370-54444995:-																																							1																																	
chr4:108944591-108959789:-												1																																			1																									
chr5:124127796-124127976:+																																																				1																				
chr17:28226822-28261650:+																																												1																												
chr10:7471867-7474612:+		1																																																																						
chr7:73113383-73125241:-												1																																																												
chr6:134439498-134457523:-																															1																																									
chr16:43976772-43978309:+																									2																																															
chr3:103950527-104013163:-																																																																					1			
chr8:61502817-61526634:+			1									1																								2																				1															1	
chr2:24729541-24753941:-								1																																																																
chr6:118711811-118719329:-															1																						1																	1			1															
chr11:31005457-31008999:+																																															1																									
chr9:70245010-70269649:+																																																																				1				
chr18:34955424-34956764:+												1									1																																																			
chr8:127887959-128201096:+																																				1																																				
chr9:55714296-55724093:-							1														1																																1																			
chr15:80786084-80786913:+																							1																																													1			1	
chr7:89809655-89822283:+																																																								1																
chr18:47431201-47431252:-												1																																																												
chr9:44662512-44663572:-																						1																																																		
chr5:100617683-100628180:-																																												1																												
chr4:131730787-131730895:-																																																			1																					
chr17:26978733-26982422:+		1																																																																						
chr3:122587908-122611716:+																		1																																																						
chr2:119746911-119766147:+																																						1																																		
chr11:60609671-60611988:-								1																																																																
chr2:76697501-76697585:-																																						1																																		
chr11:106410707-106439740:-																																																														1										
chr13:41161686-41163021:+																																						1																																		
chr17:41235179-41235512:-																																																																		1						
chr2:84198890-84207389:-																							1															1																																		
chr4:83467839-83499131:+																												1																																												
chr4:84874512-84892262:+												1																																																												
chr6:71833895-71845787:+																											1																																													
chr8:26524958-26529779:-										1																																																														
chr3:132610418-132623314:-																									1			1																		1															1					2		1				
chr17:33877361-33882259:-																																																				1																				
chr13:28852352-28853977:-						1				1	4											1		1				1			1		1	1				1				1			1										1	1					1	1				2				1		
chr11:95190804-95194135:-																											1																																													
chr5:134618208-134620073:+																																					1																																			
chr17:74680657-74689035:+				1		1	1																	1		1		2										1																2								1			1	1			1			1
chr1:30859763-30902336:-														1																																																										
chr4:142905857-142907561:-																																																										1			1											
chr11:107525805-107537059:+								1																																																																
chr11:67136639-67137194:+																																																							1																	
chr11:30754289-30780405:+																																																									1															
chr1:150473686-150525513:-																																																	2																							
chr11:62242203-62281859:-																																																						1																		
chr5:21196391-21198296:-					1							1																																																												
chr15:77655175-77655324:-																																									1																															
chr5:100531655-100555972:-												1																																																												
chr3:68993019-69002071:-																						1																																																		
chr15:64030766-64039678:-																						1				1																																														
chr7:130345414-130346256:+																												1																																												
chr6:89649152-89651177:+			1																																																					1												1				
chr5:87823585-87824113:+								1			1															1			1			1																								1																
chr19:46700659-46713477:+																																																																1								
chr5:107945678-107966880:-										2																																																														
chr9:83834576-83873875:+																							3					1				1														1																		1		1						
chr16:32489609-32496803:+																								1																																																
chrX:40945610-40986727:-																																							1																																	
chr2:67307061-67312727:+																																															1																									
chr11:11708194-11711353:+																																																									1															
chr5:140281541-140289452:-		2			1	1	1	1		1	1			2	3			1		1			1	2		2			1			1	1	1		1				1	1	1			1	1	1				1					3		1			2	2						2	1	1		
chr5:87824345-87824996:+				2		5		1			3			1		5					7		3	4		1				3		1	6	1		1	3		1							3	1					3	1			8										1		7				
chr2:120205899-120233251:-																				1																																																				
chr3:75800089-75802444:-							1																																																															1		
chr9:96084183-96114801:+								1				1		1														1																																									1			
chr5:76374779-76451349:-											1																																																													
chr1:71629256-71632394:-																																						1																																		
chr13:36416104-36526080:+																																						1																				1														1
chr3:157719588-157719678:-					1																																					1			1																											
chr12:54810404-54830298:-																																										2			2																											
chr19:11448452-11455738:+																																																								1																
chr7:71873768-71879218:-																																																																				1				
chr5:150356981-150360797:+																																				1																																1				
chr6:145093361-145106743:+																																																						1																		
chr2:4749029-4768114:+																																																							1																	
chr6:120697828-120715286:+										1																																																														
chr13:58545850-58546969:-																							1																				1																						2							
chr2:31920718-31924981:+																							1																																																	
chr2:126922449-126928862:+																																						1				1			1																											
chr4:48211649-48219527:-																																																			1																					
chr14:122361127-122377186:+																																																																	1			1				
chr2:52136771-52141826:-				1																																																																				
chr17:33802658-33809883:+				1																																																																				
chr2:52197697-52198392:-																									1																																															
chr14:100260057-100260604:-																								1				2	1																																											
chr12:116310123-116321554:+		1										1		1					1						1	1							1																																							
chr6:11961548-12047943:+											1										1													1								1			1																	1			2							
chr6:83306848-83307015:+																																																						1																		
chr5:114333494-114333557:+																																																										1														
chr5:96254074-96281991:-											1	1		1					1																																																				1	
chr11:3090136-3092410:-																																						1																																		
chr16:20005000-20009239:+																																														1											1														1	
chr10:88604496-88613411:-																																			2																																					
chr7:55818764-55820097:+										1																																																														
chr3:95408861-95409017:+											1																																																													
chr4:148112946-148113006:-																				1																			1																			1													1	
chr16:30972523-30979206:-																											1															1			1										1															1		
chr6:148719461-148725983:-																																											1																													
chrX:156773103-156779680:-							1																																																																	
chr4:35083769-35119082:-								1																																		1			1																1											
chr18:36765119-36791191:+																															1																																									
chr2:180988624-180994641:+																							1																																																	
chr2:118588319-118588984:-																												1																																												
chr12:51943345-51971956:-																																						1																																		
chr2:38923168-38925332:-																																																														1										
chrX:47456295-47459909:+																																																																							1	
chr11:88899944-88901799:+												1							1		1							1										1																												1						
chr13:55198553-55241094:-																															1																								1													1				
chr17:78642655-78642784:+																																																									1															
chr8:80070282-80098993:-																					1																																			1																
chr17:24317067-24326245:-																																							1																																	
chr11:98310914-98313962:+																																															1																									
chr12:51444475-51469786:+																								1																																																
chr15:85567436-85567515:+																																			2																																					
chr3:141562109-141563357:-																																										1			1		1											1						1								
chr8:64546902-64551568:-																																															1																									
chr19:57740061-57785935:+		1																							1			1	1																				1																						1	
chr1:180479426-180493505:+																				1																																										1										
chr16:33030295-33049518:+								1																																																																
chr13:93225627-93234937:-																				1								1																											1																	
chr5:31410346-31410411:+																																																								1																
chr10:75066515-75115795:+			1	1																																						1			1																											
chr1:191821674-191821732:-																									1																																															
chr16:31846529-31871201:-																							1																																																	
chr13:84399348-84408359:+																				1				1																																																
chr7:29082620-29087576:-																																																													1											
chr9:69371806-69374569:+																																										1			1																											
chr12:76106205-76107019:+																																																			1																					
chr16:94192873-94217225:+																				1																																																				
chr19:57645486-57645670:+																				1																																																				
chr5:107723097-107741744:-																																						1																																		
chr4:73662295-73668195:-																								1																																																
chr19:56366486-56370799:-																																														1																										
chr5:100529018-100531782:-																																															1																									
chr9:40238713-40367461:-																																																				1																				
chr10:41539022-41542792:-				1																						2																									1																					
chr5:87823972-87824113:+																		1						1																																										1		1				
chr9:62335217-62336624:-																			1																																																					
chr17:65020556-65047878:+																																								1						1																										
chr6:146256127-146277680:-																																										1			1																											
chr8:41802586-41807954:-																																															1																									
chr13:98888414-98912425:-									1																																																															
chr12:51738166-51738204:-											1													1																																																
chr3:28593562-28692666:+														1																																																										
chr1:125489021-125489050:+																																																													1											
chr2:131113478-131116183:+				2																			3												2	1											1											1													1	
chr12:98484756-98485091:-																				1																																																				
chr15:11883383-11883550:-																																			2		1																1																			
chr16:91461085-91461710:+																								1	1												1																																			
chr12:40154925-40178034:-						1																																																																		
chr8:111828445-111843463:+																							1														1																																			
chr8:120244877-120252295:-																																															1																									
chr1:184999097-185008144:+																																																														1										
chr1:91004665-91036394:+										1																																																														
chr1:91028298-91040019:+																															2			1																																						
chr19:9022988-9028494:+																																						2																																		
chr2:29891171-29891331:+																																																				1														2						
chr9:53382580-53382651:-										1																																																														
chr10:60143242-60147168:-																				1																																																				
chrX:93581526-93581579:-																																						1																																		
chr10:52225167-52235033:-																		1																						1																																
chr8:124108138-124110182:+																															1																																									
chr12:13482897-13491947:+											1			1																								2				1			1																											
chr9:77081240-77088678:-																																																																		1						
chr14:65063049-65125109:-																																																																							1	
chr10:55940569-56027949:-																																																										1														
chr12:83641171-83642096:-			1																																																																					
chr3:94418348-94438696:-			1																																																																					
chr10:62110225-62111643:-																																																					1																			
chr17:6248946-6257332:+				1																			1																																																	
chr16:18125833-18130622:-												1																1																																												
chr4:21780340-21817644:+												1																																																												
chr9:98972202-98987770:-																																							1																																	
chr11:116145127-116154123:-																																																														1										
chr11:26484210-26500075:-				2	5					1				3										1	2			1			2			1			1	1		1		1	1		1		1				1			3	1		1	2				1			1			2		1		
chr15:95762105-95818259:+										1		1		1												1	1	2														1			1						2					1					1											
chr11:23331224-23332667:+																							1					1																																												
chr11:77462432-77469653:-							1														1																																																			
chr18:55028291-55032691:-																			1																																																					
chr9:80006167-80040263:+																																																										1														
chr9:21105870-21109982:+		1																																																																						
chrX:83315557-83417153:+				2																																																						1														
chr5:87929621-87929747:+						4					1										1		1	2		3										1	5															2				2					2	1								1		
chr12:5011217-5050693:+																																				1																																				
chr10:59002325-59014679:-						1				1								1				1	1														1	1	1	1												1	1												1	7						
chr17:74799340-74805417:+																						1										2																				1																				
chr18:44475510-44477466:+																							1																																																	
chr6:108415260-108450621:+																															1																																									
chr4:126080181-126080227:-																																	1																																							
chr11:116742669-116742846:-																																	1																																							
chr10:115065029-115069163:-																																															1																									
chr3:65680405-65723497:+		2																																																																						
chr4:126776007-126805077:-							1																																																													1				
chr1:179504036-179504086:+											1																																																													
chr9:55593163-55771888:-																													1																																											
chr4:123387915-123388676:-																																		1																																						
chr2:76669155-76736876:-																																									1																															
chr3:116142102-116186563:-																			1				1		1			1																																					1							
chr3:30983961-30986041:-																							1																																										1							
chr12:84339057-84349181:+																																																																		1						
chr17:24030705-24030733:+																					1																	1		1																															1	
chr2:52294917-52302157:-																												1																																												
chr1:138950842-138969781:+																																					1	1																1								1										
chr9:110419455-110423828:+																									1																																												1			
chr6:37926156-37937790:+																																																																				1				
chr15:89312793-89312916:-											1																																																													
chrX:10072528-10074911:-																																								1																																
chr3:54608910-54617893:+																																								1		1			1																							1				
chr7:134326058-134478044:+																																																																					1			
chr7:96421210-96427226:+																																																																	1							
chr14:27160555-27188268:+										1		1								1														1				2																	1						1											
chr7:125974238-125975911:-																													1																																											
chr16:33556014-33556076:+																																																						1																		
chr3:36128605-36128670:+																									1															1																																
chr4:120931669-120944592:-		1																																																																						
chr1:131283248-131291802:-																																					1																																			
chr7:35250878-35251086:-																																																																	1							
chr5:18494521-18496618:-			1							3														1		1					1																1					1	1	1	2											2						
chr12:3949192-3952814:+								1	1																			1																							1																					
chr4:123351579-123355027:-																																		1																																						
chr4:22376495-22390921:+																																			1																																					
chr7:112927545-112951145:-																																															1																									
chr2:22840328-22843446:-										2										1																																																1		1		
chr3:88909079-88933813:+												1												1		1								1		1						1	1		1												1															
chr2:76682400-76697825:-																															1																																									
chr5:149626743-149658954:+																								1											1																																					
chr8:26240729-26243200:-												1																																																						1						
chr16:20499462-20503258:+																							1																																																	
chr2:119521903-119522707:+																							1																												1		1																			
chr4:135981056-135985297:+														1																																1											1														2	
chr1:78401829-78449271:-															1																																																									
chr14:79318552-79341136:+																																								1																																
chr10:88367530-88417910:-																																																																	1							
chr11:8468198-8469570:-		2		4	1	2	1	2				2		3			1	1					3		1		3	1	2		1		2	1	3	1	3	2	1			2			2		2				1					3		1			3	3		1	1	1			1	1	1	4
chr4:103182215-103188576:+							1																																																																	1
chr9:108488831-108492345:-								2						1						1							1																												1															1		
chr13:32409117-32411285:-				1																									3																											1																
chr2:76690257-76691853:-																																																			1																					
chr11:87036289-87068854:+																																																								1																
chr16:35839759-35840525:+										1																																																														
chr3:20123129-20126628:+																																					1																																			
chr4:11292553-11296059:-																																					1																																			
chr5:35998624-36006913:+															1																																																			1						
chr13:89851036-89853916:-																								1																																																
chr13:91687453-91687515:+																											1																																													
chr19:56338720-56344018:-		1																									1																																													
chr2:52904814-52944618:+							1																																																																	
chr9:44609222-44609517:-											1																		1																																											
chr5:92540327-92541036:+																															1																																									
chr14:34043724-34058533:+							1			1													1															2				2			2												1													1		
chr17:32264902-32267612:+											1																				1																																									
chr13:19007949-19014963:+																												1												1																																
chr14:55990119-55990244:+																												1																																												
chr15:79247857-79258384:-																																																							1																	
chr16:11055394-11058704:-																																																																							1	
chr9:114253012-114267049:+						1																																									2																									
chrX:165207971-165211631:-																		1																																																						
chr7:132584099-132584641:+																									1																																															
chr2:12386913-12402377:-												1																																												1										1						
chr19:37597373-37597553:+																																																	1																							
chr9:86399019-86427446:+																																																			1																					
chr10:76204564-76215889:-		1																																																																						
chr3:68821944-68825958:-																																		1																																						
chr6:28512833-28745325:+																																					1																																			
chr3:108710861-108729909:-																																			2																2																					
chr6:83379648-83381806:-						1								1							2	1							1		1					1			1			1			1							1		2				1			2											
chr10:11030402-11047738:+																																																						1																		
chr2:158668224-158673792:+															1																																																									
chr3:20039723-20043382:+																										1																																														
chr14:7712331-7740561:-															1																																										2															
chr2:146871414-146871896:+																							1																																																	
chr2:181190634-181190657:+																																				1																																				
chr5:123669887-123696876:-																																										1			1																1								1			
chr5:22491890-22492001:-																																																			1																					
chr1:63202825-63204189:-							1																																																																	
chr19:42089075-42105005:+							1																																																																	
chr12:86308469-86308609:+											1																																																													
chr3:79413513-79425498:-														1													2																										1																			
chr12:73214773-73228698:+																									1																																															
chr2:38016540-38026987:-		2																					1																												3							1													2	
chr14:21053162-21057372:+												1									1					1																																														
chr9:108785628-108786204:+														1																			1																																							
chr5:142772888-142778915:-																																								1																																
chr4:88215220-88228150:+																																																										1														
chr1:93357099-93369972:-																						1																																																		
chr13:99003553-99021172:-																							1																																																	
chr12:86307350-86312023:+																							1																												1														1						1	
chr9:47448807-47448843:+																									1																																															
chr5:130295823-130328880:+																																																					1																			
chr8:41529268-41537877:-				2				1		1	2	1		1									1						1					1		1		2	1		1			1		1	1						1	2		1	2				1	5						1				
chr16:13954801-13958236:-											1																																																													
chr7:126088528-126088612:+																							1														1																					1				1										
chr2:165925775-165926362:-				1																																																																				
chr7:29830097-29831049:+																				1																																																				
chr5:147456314-147458744:+																							1																																	1																
chr5:147424920-147468117:+																								3																							1																									
chr5:22006370-22006464:+												1																																																												
chr18:9377793-9399278:-																										1												1					1																													
chr2:59778430-59809045:-																																										1			1																											
chr2:32460924-32461003:+											1										2																																1																1			
chr11:43635911-43636274:-																																								1																																
chr11:5779476-5786374:-																																															1																									
chr9:90076322-90076449:+																																																						1																		
chr7:66413922-66445687:+																																																																					1			
chr1:172311847-172312537:+																							2								1																		1																			1				
chr14:25869287-25877831:+																																					1												1																							
chr11:104314747-104316119:-																															2										1																															
chr17:84641453-84694030:-												1																1																1																												
chr8:106825703-106830783:+																								1																																																
chr18:77214552-77216757:+																													1																																										2	
chr1:165216226-165256884:-																			1																																																					
chr5:96246103-96276887:-																								1																																																
chr10:106749425-106751610:+																															1																																									
chr2:92044393-92161153:+																																											1											1																		
chrX:101598489-101636311:-								1																																																																
chr10:122842876-122851044:-										1																		1																																												
chr9:55487490-55493737:-										2									1																	1																																				
chr15:103473361-103473394:-																																																																						2		
chr4:86743154-86744317:+																																																																						1		
chr17:80957034-80958513:-			1																																																																					
chr11:84968090-84994852:-														1																				2												1																								1	1	
chr7:140975961-140981982:+																																																								1																
chr2:28964585-28971089:+																										1														1																																
chr3:157705293-157709446:+																																										1			1																											
chr9:71824286-71914044:-			1		1							1													1																																											1				
chr15:6764845-6780202:+																						1																1																		1		1														
chrX:150705327-150707757:+																																															1																									
chr10:33181032-33197330:+																																															1																		1							
chr9:121560543-121582158:+																																																													1											
chr5:87824221-87824480:+		1				1															2									1			1	2			1													1						3																
chr6:113370063-113372056:+			2																																																																					
chr18:73781955-73782980:-																								1																																																
chr7:87009935-87025490:+																											1																																													
chr8:95237071-95237923:+																																																																				1				
chr4:133859542-133866239:-																																																																							2	
chr2:52050667-52050760:-			1																				1								2							1									2										1					1										
chr4:53649893-53649976:+											1																																																													
chr10:60272672-60274574:-																																						2																																		
chr13:77407959-77418063:+																																						1																																		
chr4:140895023-140907843:+										1																					2																		1																1				1		1	
chr8:26301911-26302061:+																					1																																																			
chr11:4121061-4125580:+																																	1																																							
chr4:32670566-32679591:+																																																										1														
chrX:150653454-150666305:+																									1																																															
chr10:4378318-4378408:-																																																							1																	
chr5:44201658-44204960:-																													1																																											
chr1:180564256-180566202:+		1			1		1																	1		1			1								1														1										1								1			
chr11:60161143-60171109:-		1																																																															1	1						
chr12:111755893-111762106:+				1			1																					2																																												
chr4:148703052-148703103:-																										1																																														
chr1:80526849-80530541:-																																	1																							1																
chr3:107572831-107576053:-																																																					1																			
chr7:33857403-33861062:-		1																																																																						
chr11:30784085-30792120:+																										1																																														
chr5:100184720-100185840:-																																																													1											
chr2:76683948-76684032:-								1																																		1			1																											
chr7:67195113-67209717:-										1																		1																																												
chr12:3693916-3736862:+																										1																																											1			
chr7:19215170-19218659:+			3			1		1				2							1			3			1		1							1				1	1							1							1	2																		
chr14:101711765-101714415:-																									1																																															
chr13:56871241-56883869:+																																		1								1			1																										1	
chr18:4649074-4649405:+																																						1																											1							
chr4:131958449-131959322:-																																																																				1				
chr7:89809655-89846228:+		1	1				1							1															1				1													1	4										1				1				1							2
chr2:37706927-37744076:-							1																																																																	
chr13:94361402-94389578:-																																	1																																							
chr9:20709713-20710385:-																																																																							1	
chr11:106127820-106136263:+																						1											1			1																														1						
chr2:136375572-136379397:+																																						1																																		
chr5:53807004-53810104:+																																											1																													
chrX:167452408-167452485:-																											1																															1														
chr5:108228690-108242114:+																																	1																																							
chr1:183116294-183116406:-																																																										1														
chr14:121273337-121273531:+																																																			1																					
chr18:10804686-10808134:+																																																						1																		
chr7:26864276-26864407:-																											1																																													
chr2:20534769-20535053:+																																		1																																						
chrX:159312910-159345888:+																																																										1														
chr10:83090646-83119733:-			1				1			1														1												1																				1																
chr5:138258775-138261424:-						1																						1																																												
chr2:126686219-126690541:-																				1																																																				
chr8:3482618-3487099:+							1																																																																	
chr6:5100431-5154207:+								1																												1																					2					1							1			
chr16:90663142-90691543:+												1																																																												
chr5:108619937-108626224:+																										1																1			1																1											
chr10:12312024-12323836:-																										1	1																								2	2				1		1				2				1		1		1		
chr2:37304527-37309479:-																																									1																															
chr11:117242254-117247535:+																																																																					2			
chr19:40300112-40362061:-								1																																		1			1																											
chr9:66937215-66938310:-																																																							1																	
chr6:129160180-129161093:+																																																														1										
chr1:69722368-69723331:-																																																																							1	
chr13:74872896-74872980:-			1																1	1														2													2								1											1		1				
chrX:158696984-158702913:+																																																																				1				
chr6:118711811-118718935:-										1				1																				1																				1																		
chr3:153617240-153617561:-											1																																																													
chr9:79999548-80018735:+											2																																								1										1							1				
chrX:35266318-35266444:+																																																			1																					
chr9:64742567-64749971:+							1																			1																																										1	1			
chr9:64942156-64951141:+																		1																																																						
chr11:22018358-22051230:-							1																																																																	
chr10:12277054-12290990:-																					1																																		1																1	1
chr14:64985894-64998250:+																																					2																																			
chr3:141562109-141577166:-																																																																	1							
chr6:33415314-33418974:+		1																																																																						
chr11:3127426-3136136:-												1																																																												
chr11:77700624-77703545:+																										1								1																																						
chr18:12664888-12667160:+																																																					1																			
chr10:76220574-76237369:-																																																																		2						
chrX:156355854-156376869:-																									1																																															
chr9:59529631-59532672:+				1																																																																				
chr9:109964636-109968702:+						1																																																																		
chr13:113182265-113182705:-																																									1																															
chr3:88817620-88818117:-																																															1																									
chr8:64551462-64555049:-																		1																																																						
chr18:74432182-74440445:+																																						1																																		
chr13:95882945-95974431:-																						2																											1																						1	
chr8:78146700-78159440:-																																																																					1			
chr18:10740982-10778300:+		1																									1						1																					1																1	1	
chr14:8512303-8512336:+																																		1																																						
chr12:98648777-98649874:-																																										1			1																											
chr17:64203012-64218559:+																																										1			1						1			1				1													1	
chr11:96380648-96432312:+																																																						1																		
chr3:84591515-84599859:+			1																																																																					
chr14:99416750-99459079:+																							1																																																	
chr10:8690004-8690221:-																									2																																															
chr10:8656282-8690221:-																																																			1							1														
chr11:77316126-77341048:+								1			2																																																													
chr12:85165375-85165533:+																																	1																																							
chr13:55361016-55416336:+																																				1																																				
chr3:97614187-97661861:-								1				1																																			1																									
chr9:32081385-32101357:+																										1																															1	1														
chr9:96114734-96169775:+																																		1				1																																		
chr6:120318933-120327351:-																																																					1																			
chr1:21494272-21663838:-														1																																																										
chr1:33815349-33825613:-														1																								2																																		
chr12:76080542-76080687:+																															1																																									
chr5:54259916-54262740:+							1											1											1											1							2											2														
chr9:65219379-65234170:+										2																																																														
