circ_id	gene_id	antiHormonal_20m_ESR1_tamoxifen_2m_3	aging_24m_ESR1_6m_2	aging_24m_CYP19A1_no_3	antiHormonal_18m_CYP19A1_no_1	aging_24m_CYP19A1_12m_2	aging_30m_CYP19A1_18m_2	antiHormonal_20m_ESR1_no_2	antiHormonal_18m_ESR1_no_3	aging_24m_CYP19A1_6m_3	aging_12m_ESR1_no_2	antiHormonal_18m_ESR1_no_1	aging_12m_ESR1_no_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_18m_ESR1_no_2	aging_24m_ESR1_6m_3	aging_18m_ESR1_no_1	aging_12m_ESR1_1w_2	antiHormonal_20m_ESR1_tamoxifen_2m_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	aging_18m_ESR1_no_3	aging_24m_CYP19A1_12m_1	aging_30m_CYP19A1_18m_3	aging_24m_CYP19A1_6m_2	aging_12m_ESR1_no_3	aging_12m_ESR1_1w_1	aging_24m_ESR1_12m_2	antiHormonal_20m_CYP19A1_no_1	aging_12m_CYP19A1_no_1	antiHormonal_20m_CYP19A1_no_3	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_18m_CYP19A1_no_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_24m_ESR1_no_2	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_18m_ESR1_1w_2	aging_30m_ESR1_18m_1	antiHormonal_18m_ESR1_no_2	aging_18m_CYP19A1_no_2	aging_18m_ESR1_1w_3	aging_24m_ESR1_6m_1	antiHormonal_20m_ESR1_letrozole_2m_1	aging_24m_ESR1_no_1	aging_24m_ESR1_12m_1	antiHormonal_20m_ESR1_no_3	aging_24m_CYP19A1_12m_3	aging_24m_CYP19A1_6m_1	aging_12m_CYP19A1_no_3	aging_12m_CYP19A1_no_2	aging_30m_ESR1_18m_3	antiHormonal_20m_CYP19A1_no_2	aging_18m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_3	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_1	aging_30m_ESR1_18m_2	antiHormonal_20m_ESR1_letrozole_2m_2	antiHormonal_20m_CYP19A1_letrozole_2m_2	aging_18m_CYP19A1_1w_3	aging_12m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_1	aging_12m_ESR1_1w_3	aging_24m_CYP19A1_no_2	aging_18m_CYP19A1_no_3	aging_24m_ESR1_12m_3	antiHormonal_20m_ESR1_letrozole_2m_3	aging_24m_CYP19A1_no_1	aging_18m_CYP19A1_1w_1	aging_24m_ESR1_no_3	aging_30m_CYP19A1_18m_1	aging_18m_ESR1_1w_1	antiHormonal_20m_CYP19A1_letrozole_2m_3	aging_18m_CYP19A1_no_1
chr10:50493808-50494367:+																																																																	1								
chr10:50511129-50526807:+																										1																																															
chr10:50511129-50536822:+																																				2																																					
chr10:50521039-50536822:+																	1																																																								
chr10:50566211-50611448:+																																																						1																			
chr10:50586976-50598037:+																																																																			4						
chr10:50604186-50607875:+																																																					1																				
chr10:50624902-50630218:+					1								1																																					1																							
chr10:50624902-50643603:+			2				2		3						3			1			3									3	1	2		2	1	3															2						2									1						1	
chr10:50643187-50643603:+					1						1		1							1																		1	1	1						1														1		1											1
chr10:51182509-51182689:-																																																										1															
chr10:51360627-51361876:+																																																																		1							
chr10:51370903-51372155:+									1							1																																											1														
chr10:51940770-51943198:-																	1																																																								
chr10:52137823-52138035:+																																	1																																								
chr10:52137823-52167019:+																																	1						1																							1											1
chr10:52160199-52167019:+								1																					1																										2																		
chr10:52180683-52193247:+																																																																1									
chr10:52187496-52190500:+																		2																																																							
chr10:52187496-52193247:+																																																		1																							
chr10:52222145-52225332:-																																													2																												
chr10:52222145-52235033:-																1																																																									
chr10:52225168-52235033:-											1																																																1														
chr10:52305289-52309540:+																1																																																									
chr10:52305289-52312759:+			1					2		1		1			2	2	2	1							3							1	2					1			1						4			1							1		2						2								
chr10:53159933-53168471:-																																																															2										
chr10:53167860-53174301:-						4																																														2														1							
chr10:53177598-53234303:-																															1																																										
chr10:53195694-53234303:-																																																					1																				
chr10:53209623-53209803:-																																																									1											1					
chr10:53224568-53225355:-																				1						2																																															
chr10:53224568-53234303:-				2																													1																			1																				1	
chr10:53224568-53243531:-																									1															1																																	
chr10:53234145-53243531:-																																																																1									
chr10:53240426-53240618:-																																																									2																
chr10:53487448-53502130:-															2										1				1											2																			1								1						
chr10:53550662-53566244:-																					1																												1																								
chr10:53781388-53782142:+																																																																				1					
chr10:53783190-53783359:+												1																																																													
chr10:53788357-53788495:+																																															1																										
chr10:53795254-53906890:-																																																	1																								
chr10:53853119-53906890:-												1																																																													
chr10:53890511-53906890:-																														1																																					2						
chr10:53946055-53946201:+								1																																																																	
chr10:55903995-55916375:-																																																																								1	
chr10:55916235-56005273:-																																																															1										
chr10:55940570-56005273:-																																				1																																					
chr10:55963627-55965935:-											1																																			1											1	1															
chr10:55963627-56038308:-																																																																		1							
chr10:55999607-56027949:-																2																						1							2																				1								
chr10:56026890-56056716:-																																				1																																					
chr10:56063839-56074656:-																																																	1																								
chr10:56867755-56875509:-																																										1																															
chr10:57371994-57375587:+																																																				2																					
chr10:57371994-57382398:+																	1																																																								
chr10:57371994-57385210:+																																																																	1								
chr10:58110558-58130727:+																																															1																										
chr10:58130533-58132061:+																																										1																															
chr10:58182594-58182841:+																																1																																									
chr10:58187992-58188190:-									2																																																																
chr10:58287806-58301631:+			1										1																																																												
chr10:58287806-58306584:+																																																															1								1		
chr10:58290395-58291776:+																																																																1									
chr10:58290395-58293606:+																				1																																			2																		
chr10:58297658-58301048:+																															1																																										
chr10:58306449-58328958:+																	2																																																								
chr10:58311105-58312123:-																																																		1																							
chr10:58319719-58324496:+																																																							1																		
chr10:58320264-58321703:+									1																																																																
chr10:58321502-58326577:+																	1																																																1								
chr10:58324395-58324819:+																																																																			1						
chr10:58326495-58328318:+																																																				1																					
chr10:58359960-58364834:+		1																																																																							
chr10:58457135-58465954:-								1																																																																	
chr10:58819743-58842959:+																																						1																																			
chr10:59002326-59014679:-				1				1			1							1																											7	1				1		2	1	1					1							1						1	
chr10:59002326-59019533:-														1																																																											
chr10:59002326-59028637:-				6				3	1												1				1																1																							1									
chr10:59012670-59028637:-																																																																				1					
chr10:59027988-59028637:-		1	1	3					1				1				1						1	6	1	1		1	3	1	1	1					1				1		2				1		1									2		3		1	6			1							
chr10:59359052-59359197:-																																							1																																		1
chr10:59431140-59431377:+											1																																																														
chr10:59435750-59436515:-																		2								1							1						1											2				1	1				2						1						1		1
chr10:59435750-59441999:-							1		1		1																	1																	2							1																					
chr10:59444858-59445323:-																																																		1																							
chr10:59563779-59576644:+																			1																																																						
chr10:59563779-59586369:+																																																				1																					
chr10:59621183-59624898:+																																							1																																		1
chr10:59816640-59816822:-																				2																																																					
chr10:59848284-59849596:+																																														1																											
chr10:59877943-59900230:+															1																2																										2									1						1	
chr10:60134963-60135283:-																									1																						1																										
chr10:60135561-60135837:+																																														1																											
chr10:60135965-60136388:+			13			32										4					79					1							1					3	86		21		35			95					68					75	3						4			53							86
chr10:60137944-60138157:-																																													1																												
chr10:60143243-60147168:-																				1																																																					
chr10:60159068-60161927:-																				1														1																																							
chr10:60171813-60173641:-																																																										1															
chr10:60324314-60359343:-																																										1																															
chr10:60562362-60562506:-																													1																																												
chr10:61081705-61085539:-																																																											1									2					
chr10:61174978-61177131:-																																										1																															
chr10:61174978-61179978:-																																1																																								1	
chr10:61218558-61218798:-																					1																																																				
chr10:61266161-61266329:-																																																	1																								
chr10:61496691-61501245:+													1																1																																												
chr10:61501200-61502753:+																												1																																		1			2				1				
chr10:61520659-61525684:+											1																		2																																												
chr10:61520845-61521398:+																																																																	1								
chr10:61520943-61521398:+																														2																								3																			
chr10:61527604-61527858:-																																																																		1							
chr10:61528283-61528526:+																																																			1																						
chr10:61561635-61564000:+																				1																																													1								
chr10:61570139-61571286:+															1																																																										
chr10:61944693-61945791:-																																										1																															
chr10:62110226-62111643:-																															1															1																											
chr10:62120058-62122431:-																													1																									1								1											
chr10:62229466-62237736:-																																			1																																						
chr10:62273213-62277025:-							1			1		1		1			2	1															1					4																		1																	
chr10:62279158-62283552:-																	1																																																								
chr10:62299470-62316486:-																					1																						1																														
chr10:62304069-62306914:-																				1																																																					
chr10:62304069-62316486:-																																																	1																								
chr10:62417095-62417240:-																																																	1																								
chr10:62423243-62430890:-																																																																				1					
chr10:62426093-62426360:+																																																																							1		
chr10:62475640-62479151:-										3			1																																												1																
chr10:62478734-62479075:-																																								1																																	
chr10:62582680-62582858:-																																																							2																		
chr10:62582680-62583243:-				2																																																1																			1		
chr10:62582680-62586795:-										1																																																															
chr10:62586326-62586795:-					1							2					1	1												1										1																		1								1					1	2	
chr10:62587522-62626821:-																						1																	1																				1				1										1
chr10:62588953-62589105:-																																												1	1																												
chr10:62595873-62596058:-																																																	1																							1	
chr10:62595873-62602561:-								1																																																																	
chr10:62599219-62602561:-														1																																						1				2													1				
chr10:62605739-62613872:-																																																																								2	
chr10:62606085-62618627:+																																																												1													
chr10:62606634-62607844:-				1																			1										2																				1												2								
chr10:62606634-62616413:-								1																																																																	
chr10:62612347-62612742:-																		1		1					1			1	1	2	1		1						1	2	1								2	1		1	1			1						1			1						1	1	1
chr10:62612347-62621373:-																																													2					1																							
chr10:62619013-62621373:-																																																						1																			
chr10:62668673-62676157:-		2			1							1		1	1								1						1				1		1				1											1									1						2								1
chr10:62768498-62773773:+																																																																	1								
chr10:62826759-62831158:+																																	2																																								
chr10:62833660-62842533:+																																										2																															
chr10:62842404-62847622:+															1																																																										
chr10:62851581-62853116:-																													1																																												
chr10:62851581-62855306:-													1																										1																																		1
chr10:62851754-62851894:-																																					1																																				
chr10:62897337-62902402:+																																																			1																						
chr10:62961448-62981987:-																1																																																	1								
chr10:62981615-63005209:-																	1																1																			1																		1			
chr10:62983656-63005209:-																																																										1							1								
chr10:62988574-63005209:-																1																																																									
chr10:62998001-63005209:-		3		2		2	1			2							2			1		2						2			1		1	3	2	1	3					1								1	5	1				2		1	2						2			2		5		1	
chr10:62999292-63005209:-								1						1	1		5					3		1	2					2			1	1									1		3					1		3					2	1					1						2				
chr10:63023522-63023718:-										1																																																															
chr10:63028166-63029062:-														1																												1							1																								
chr10:63099805-63105483:+																																																			1																						
chr10:63099805-63119120:+																																						1																																			
chr10:63105407-63114244:+																																																				2																					
chr10:63105407-63119120:+											1																		1							1																																2					
chr10:63118960-63127062:+																																								1																																	
chr10:63121153-63121499:+					1													1																																									1												1		
chr10:63123298-63123788:+																																																	1																								
chr10:63123298-63127062:+																																1																																									
chr10:63123298-63135018:+																												1																							2																						
chr10:63123298-63144229:+																																																					1																				
chr10:63123677-63147412:+																				1						1																																															
chr10:63124831-63135018:+																												2																																													
chr10:63126283-63135018:+																																						1																																			
chr10:63142127-63144229:+			1																																					1																																	
chr10:63142127-63147693:+																																			1																																						
chr10:63167524-63171656:-																																1																																									
chr10:63167524-63172875:-																																							1																																		1
chr10:64086477-64096744:+																																					1									1					1																						
chr10:64086477-64245062:+																																																				1																					
chr10:64421739-64511695:+																																													1																												
chr10:66850681-66857672:-																																						1																																			
chr10:66870378-66871784:-							1		2						1	1		2			4																			1											1	3						1				1			1								
chr10:66870378-66875356:-													1																1						1												2												2	1			1										
chr10:66942555-66942955:+																	1																																																								
chr10:66993686-66993850:+												1																																	1										2				1										1				
chr10:66993686-67000001:+																																			1																																						
chr10:66993686-67025628:+								1	1		1	1	1	3			1	2		1	1		2		1	1				1	1							1	2						1				1	2	3	1			1	2			1			1				1				1	1	1	2
chr10:66993686-67051154:+																																					1																																				
chr10:67005300-67005480:+																																																						1																			
chr10:67051049-67056414:+																																										1																															
chr10:67051049-67069302:+																																																																	1								
chr10:67052762-67076720:+																													1																																												
chr10:67054056-67062698:+																				1																																																					
chr10:67059788-67062698:+																																			1																														1								
chr10:67059788-67076720:+																																													1																												
chr10:67060516-67065828:+																																1							1				1																									2					1
chr10:67073871-67076720:+								1																																																																	
chr10:67079551-67083929:+																																													1																												
chr10:67085409-67090362:+													1													1																																															
chr10:67411716-67430094:+		1																																						1																																	
chr10:67413946-67427157:+											1																																																														
chr10:67422178-67427157:+																																																				1																					
chr10:67954081-67964823:-																										1																							1				1																				
chr10:67954081-67970936:-																1																																				1																					
chr10:67954081-68022086:-											1																																																														
chr10:67962529-67964823:-																																																			1																						
chr10:67964759-67970859:+											1																					1										1									1																		1				
chr10:68019493-68019888:+																																														2																											
chr10:68021856-68022086:-																					1																																					1										1					
chr10:68021856-68079059:-												1																	1																																												
chr10:68078834-68079059:-																																											1												1																		
chr10:68097875-68098038:-																	1																																																								
chr10:68584206-68587158:+														1																						1																			1																		
chr10:69045549-69045736:+																																										1																															
chr10:69102017-69121605:+																																																							1																		
chr10:69442985-69444790:+														1											1																																																
chr10:69614072-69614222:+																					1																																																				
chr10:69644246-69768326:+																							1																																																		
chr10:69710620-69715821:+																																																																		1							
chr10:69728152-69740100:+																																																			1																						
chr10:69756268-69768326:+																					1																																																				
chr10:69756268-69794902:+				2																																																1																					
chr10:69763525-69768326:+														1			1	1																															1												1												
chr10:69768239-69791980:+																																													1																												
chr10:69786782-69794902:+																																									1																																
chr10:69794748-69816224:+																																										2																															
chr10:69811878-69835328:+																																										1																															
chr10:69840752-69851483:+																																																												1													
chr10:69978409-69990666:+					1	2																										3		1					2																										1								2
chr10:69978409-70005082:+																																				1																																					
chr10:69978409-70010997:+													1					1												1																																											
chr10:69990538-70005082:+													2				1																																																								
chr10:69990538-70010997:+															1						1														3	1		1													1	2							1														
chr10:70002832-70010997:+													2				1		1																			1					1																												1		
chr10:70284588-70313102:+																																						1																				1															
chr10:70331048-70331183:+																																				1																																					
chr10:70334716-70356755:+																																			1																1																						
chr10:70370514-70372334:+																																		1																	1																						
chr10:70863728-70915066:-												1																																															1														
chr10:70983145-70983337:+																																							1																																		1
chr10:71064917-71072861:-																																				1																																					
chr10:71094031-71098092:-																		1	1																																							1															
chr10:74046199-74066212:+																														1																																											
chr10:74966853-74967516:+					1																															1																																					
chr10:74971726-74981294:+																																															1																										
chr10:74989718-75004070:+																																																																	2								
chr10:75064589-75066705:+																																																1																									
chr10:75064589-75115795:+																																																																		1							
chr10:75066516-75084478:+						1																										1			1																							1									2						
chr10:75066516-75103423:+														1																																									1																		
chr10:75066516-75115795:+		1																																					1																			1															1
chr10:75076899-75084478:+																					1																																																				
chr10:75080913-75097791:+						1				2				1		1	2			3		4	2	1			3						2	3										1			3				2					5						1	10			1	1			3		3	
chr10:75080913-75115795:+																	2																								1																																
chr10:75093702-75099204:+													1																		1																								1																		
chr10:75093713-75112761:+																																																																				1					
chr10:75097628-75103423:+																																																						1																			
chr10:75097628-75112761:+																		1																																																							
chr10:75097628-75115795:+					1																										1																		1																								
chr10:75099113-75115795:+															1																																																										
chr10:75103333-75115795:+														1																																																											
chr10:75103335-75115795:+																																																							1																		
chr10:75109851-75115795:+			1							2		1		1	1	1	2		1	1					1	2				1	1	1				1		1	3	1						3		1	2		4					1								1	2	2		3	1		1	2	3
chr10:75112605-75115795:+																																																1																									
chr10:75148699-75148857:-																																			1																																						
chr10:75345866-75347990:-											1																																																														
chr10:75389660-75389954:-																			1																																																						
chr10:75472825-75472979:+																																													1																												
chr10:75520126-75535929:-										1	1	4	1	1		1	3	3		1	1						4					3	1		1				1	3														1	2	2			1						2						4		1
chr10:75530549-75535929:-													1				2														1				1															2					1	1						1						2					
chr10:75535747-75557373:-																																																				1																					
chr10:75553272-75557373:-									1							2																								3														1																			
chr10:75562817-75569567:+																		1																																																							
chr10:75582322-75591334:-																									1																																																
chr10:75589211-75591334:-		1													1																																																										
chr10:75667866-75668360:-																																	1																																								
chr10:75740218-75747490:-																	2																			1															1																						
chr10:75740218-75752745:-																			1																																																						
chr10:75750898-75752745:-																																														1																											
chr10:76046232-76062149:-																							1																																																		
chr10:76053148-76056996:-								1													1																																																				
chr10:76061122-76062149:-																												1		1	1	1										3							1																			1					
chr10:76110823-76118461:-																									1																																																
chr10:76153701-76155420:-																																																	1																								
chr10:76188743-76237369:-																			1																																																						
chr10:76203142-76205913:-											1					1	1											1			1	2			1			1	1								2		1	2								2					1										1
chr10:76203142-76211134:-																																				1																																					
chr10:76204565-76215889:-																																																									1																
chr10:76204565-76237369:-																											1																								1																						
chr10:76217869-76218021:-																									2																																																
chr10:76220575-76237369:-																																													2																												
chr10:76235690-76240485:-													1																		2									1				2								1			1								2		1		2					1	
chr10:76235690-76248483:-		1		1												1																			2																		1																				
chr10:76254194-76256376:-																1																																																									
chr10:76255812-76259059:-																				1																																																					
chr10:76265034-76276189:-																																																																				1					
chr10:76268838-76269874:-																																						1																																			
chr10:76272260-76273050:-																												2																																													
chr10:76305783-76313744:+																							1																																																		
chr10:76312617-76316974:+																																																																						1			
chr10:76318458-76319217:+																										1																																															
chr10:76337044-76342522:+																																																							1													1					
chr10:76339997-76343381:+		1																																																																							
chr10:76346854-76348402:+																																										1									1	2																					
chr10:76445994-76446883:-																															1																																										
chr10:76446863-76447023:-		19		9					31	6	16	5							15							19				1	3	5				3		27	5	3		25				16	14				5				3			17		1		12			6	4	7		9	38			5
chr10:76446863-76447835:-																																													2																												
chr10:76446997-76447276:-																					2													1																																					1		
chr10:76447250-76447835:-								1																																																																	
chr10:76545061-76545473:+																					1																																																				
chr10:76553629-76553910:-																																																												2													
chr10:76554207-76554377:-																																												1	1							1					1								1								
chr10:76554207-76554839:-																														1																																											
chr10:76561552-76561795:+		2																																																																							
chr10:76877650-76878808:+					1																																																																				
chr10:76904224-76907509:-																																													1																												
chr10:77138393-77158417:-																												1																						2																							
chr10:77190359-77195569:-																																																																	1								
chr10:77192736-77195569:-						1																											2																																								
chr10:77197239-77197379:-																																													2																												
chr10:77324048-77325900:-																																															1																										
chr10:77333197-77350248:-																																																									1																
chr10:77433282-77433443:-											1																																																														
chr10:77466560-77466728:+						1																			2					1								1																			2					1											
chr10:77473182-77473383:+																																			1																																						
chr10:78056110-78058566:+																						1																																																			
chr10:78056219-78058497:-											1																																																														
chr10:78064613-78067369:-																																										1																															
chr10:78276489-78287349:-																																							1																																		1
chr10:78410921-78414954:+																																							1																																		1
chr10:78422289-78422430:+																																																														1											
chr10:79366424-79366606:-																																						1																																			
chr10:79546215-79546657:-																																				1																													1								
chr10:79546529-79546687:+															2																																																										
chr10:79547383-79547792:-																																																															1										
chr10:79547489-79547651:-											1																			1																	2																									1	
chr10:79547503-79547651:-																																							1																																		1
chr10:79576973-79577107:-																													1																																												
chr10:79642474-79643542:+																																																				1					1																
chr10:79645375-79651075:+																													1																																												
chr10:79651019-79651678:+		1							1										1		1						1																																														
chr10:79661530-79665265:+																																																			1																						
chr10:79693595-79693819:-											1																																																														
chr10:79696658-79697881:+													2											1						3					2				3																																		3
chr10:79701206-79701389:-																																																											1														
chr10:79727537-79727980:+																																	1																								1						1			1							
chr10:79727637-79727919:-																																																				2																					
chr10:79743452-79744689:+																																																			1																						
chr10:79767600-79767912:+																1																																																									
chr10:79814022-79814309:-		1																																																																							
chr10:79836546-79836924:+									1																							1							2												1							1															2
chr10:79842086-79842544:+																			1																																	1										1											
chr10:79844762-79845869:+																									1																																																
chr10:79857911-79858369:+																																																																				1					
chr10:79862371-79862761:+																												1																																													
chr10:79894639-79895800:-													1																																																												
chr10:79904693-79905541:-													1																																																												
chr10:79905116-79905885:-																																																			1																						
chr10:79960636-79963934:+																																														1																											
chr10:80006036-80006340:+																																																									1																
chr10:80006036-80006598:+																			1																																																					1	
chr10:80006283-80006434:+																																						1																																			
chr10:80068072-80077719:+																																							1																																		1
chr10:80090936-80091846:+							2							1			2			1	2																																				1					1											
chr10:80109841-80110703:+													1	1								1																																									3										
chr10:80170318-80173319:-																																																								1																	
chr10:80250996-80251357:-																																																														1											
chr10:80381297-80382299:-																																																									1																
chr10:80501920-80502567:+																																																								1																	
chr10:80507578-80507843:-																												4																																												9	
chr10:80540878-80541084:-																						1																																																			
chr10:80547946-80551013:-									1			2							2					1			1			1								2		1					2						1							2					1							1	2		
chr10:80547946-80555646:-								1												1	1						1																			4	1							1		1				1			1										
chr10:80551705-80555646:-																																	1																																								
chr10:80559378-80559614:+																																																		1																						1	
chr10:80565812-80568780:-																																																									1																
chr10:80601997-80607200:+																																				1																1																1					
chr10:80634837-80634974:-																																				1																																					
chr10:80639417-80639722:+								1		1															1				1																											1				2			4		1								
chr10:80646010-80646400:-										1																																1																															
chr10:80697246-80698061:-																																																																				1					
chr10:80735784-80735987:+																							1																																																		
chr10:80917735-80917968:+														1				1				1																																																			
chr10:81013924-81014644:-																																								1																																	
chr10:81014993-81015285:+												1									1																																																				
chr10:81015378-81015630:+												1																																																													
chr10:81015378-81015911:+					1																																																																				
chr10:81015987-81016245:+																			1																																																						
chr10:81016069-81016473:-																							1																																																		
chr10:81016092-81016473:-																																																		1	1																	1			1		
chr10:81077829-81086568:+											1																																																														
chr10:81077859-81078008:+								1																																																																	
chr10:81106760-81106996:-																																																				1																					
chr10:81118772-81119439:-													1																																																												
chr10:81119330-81119573:-																																			1																																						
chr10:81119517-81126933:-																										2																													2																		
chr10:81142142-81146718:+										2																																																															
chr10:81147616-81147831:-																														1																																											
chr10:81149279-81149615:-																																																									1																
chr10:81202121-81202276:-														1																																																											
chr10:81343762-81345249:-					1																																																																				
chr10:81343762-81350255:-								1																				1																																													
chr10:81368230-81369240:-										1												1			2															1										1	2																				1		
chr10:81398991-81399173:+																									1																																																
chr10:81412070-81412476:+																										1																																															
chr10:81412477-81413493:+																1																																																									
chr10:82204405-82204792:+		1			2						1						2		1				1									1	2					1		1							1			4		3		1		1	1	3							1	1					2		
chr10:82204405-82219678:+					1				1					1					2			1						2					1	3						1										1		2				1										4	1		6				
chr10:82238440-82238624:-																																																																				1					
chr10:82544843-82548072:+		1																																																																							
chr10:82544843-82575099:+																																		2																																							
chr10:82568437-82575099:+																																																		1	1																						
chr10:82587218-82597747:-																																													2																												
chr10:82719748-82721127:+																																																							1																		
chr10:82728092-82728237:+																												2																																													
chr10:83027319-83027482:-												1																																																													
chr10:83068379-83069256:+														1																																																											
chr10:83090647-83119733:-		1											1		1													1							1																															1					1		
chr10:83117234-83119733:-																		1																				1																														1					
chr10:83117234-83140239:-					1											1				1						2																																					2										
chr10:83133018-83140239:-								1											1																				2																										1			1					2
chr10:83133018-83152653:-																									1														1																																		1
chr10:83149279-83152653:-						1									1											1					1									2																						3					2			1			
chr10:83151919-83152653:-																		2															1																		1						1																
chr10:83342462-83344596:-														1																		1		1																									1														
chr10:83382686-83386173:+																																							1																																		1
chr10:83391437-83410423:+																																				1																																					
chr10:83391480-83391864:+																																						1																																			
chr10:83394462-83400401:+																										1																								1																							
chr10:83400275-83412049:+																																						1																																			
chr10:83410307-83412693:+																																																																		2							
chr10:83446842-83450166:-																																																					1																				
chr10:84422968-84427172:+																										2																																															
chr10:84422968-84430648:+																																							1																																		1
chr10:84425748-84427172:+																															1																1																										
chr10:84425748-84430648:+																							2								1		1			1		1					1																														
chr10:84491809-84520168:+																																																												1													
chr10:84510421-84516328:+																																																			1																						
chr10:84549493-84550275:+																																																									1																
chr10:84783276-84783884:+																														1				2	2					1					3							2										2	1					2					
chr10:84783276-84793974:+																																																																	1								
chr10:84793880-84805955:+																	1																																																								
