id	antiHormonal_20m_ESR1_tamoxifen_2m_3	aging_24m_ESR1_6m_2	aging_24m_CYP19A1_no_3	antiHormonal_18m_CYP19A1_no_1	aging_24m_CYP19A1_12m_2	aging_30m_CYP19A1_18m_2	antiHormonal_20m_ESR1_no_2	antiHormonal_18m_ESR1_no_3	aging_24m_CYP19A1_6m_3	aging_12m_ESR1_no_2	antiHormonal_18m_ESR1_no_1	aging_12m_ESR1_no_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_1	aging_18m_ESR1_no_2	aging_24m_ESR1_6m_3	aging_18m_ESR1_no_1	aging_12m_ESR1_1w_2	antiHormonal_20m_ESR1_tamoxifen_2m_1	antiHormonal_20m_CYP19A1_tamoxifen_2m_2	aging_18m_ESR1_no_3	aging_24m_CYP19A1_12m_1	aging_30m_CYP19A1_18m_3	aging_24m_CYP19A1_6m_2	aging_12m_ESR1_no_3	aging_12m_ESR1_1w_1	aging_24m_ESR1_12m_2	antiHormonal_20m_CYP19A1_no_1	aging_12m_CYP19A1_no_1	antiHormonal_20m_CYP19A1_no_3	antiHormonal_20m_ESR1_tamoxifen_2m_2	antiHormonal_18m_CYP19A1_no_3	antiHormonal_20m_CYP19A1_tamoxifen_2m_3	aging_24m_ESR1_no_2	antiHormonal_20m_CYP19A1_letrozole_2m_1	aging_18m_ESR1_1w_2	aging_30m_ESR1_18m_1	antiHormonal_18m_ESR1_no_2	aging_18m_CYP19A1_no_2	aging_18m_ESR1_1w_3	aging_24m_ESR1_6m_1	antiHormonal_20m_ESR1_letrozole_2m_1	aging_24m_ESR1_no_1	aging_24m_ESR1_12m_1	antiHormonal_20m_ESR1_no_3	aging_24m_CYP19A1_12m_3	aging_24m_CYP19A1_6m_1	aging_12m_CYP19A1_no_3	aging_12m_CYP19A1_no_2	aging_30m_ESR1_18m_3	antiHormonal_20m_CYP19A1_no_2	aging_18m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_3	antiHormonal_18m_CYP19A1_no_2	antiHormonal_20m_ESR1_no_1	aging_30m_ESR1_18m_2	antiHormonal_20m_ESR1_letrozole_2m_2	antiHormonal_20m_CYP19A1_letrozole_2m_2	aging_18m_CYP19A1_1w_3	aging_12m_CYP19A1_1w_2	aging_12m_CYP19A1_1w_1	aging_12m_ESR1_1w_3	aging_24m_CYP19A1_no_2	aging_18m_CYP19A1_no_3	aging_24m_ESR1_12m_3	antiHormonal_20m_ESR1_letrozole_2m_3	aging_24m_CYP19A1_no_1	aging_18m_CYP19A1_1w_1	aging_24m_ESR1_no_3	aging_30m_CYP19A1_18m_1	aging_18m_ESR1_1w_1	antiHormonal_20m_CYP19A1_letrozole_2m_3	aging_18m_CYP19A1_no_1
chr11:113619074-113642568:+																														1																																										
chr5:37514744-37550540:+																																				1																																				
chr18:37839692-37842705:+																																																																				3				
chr6:39586737-39587338:-								1																			1																																							1						
chr4:48456734-48470072:-											1	1																																																						1						
chr19:60761130-60762455:-																																						1																																		1
chr9:103093084-103094625:+																																																					1																			
chr12:37217315-37293835:+																																																															1									
chr18:78022339-78040584:+								1																																																																
chr12:98807810-98853400:-																															1															1																										
chr5:25600387-25620021:-																															1																																									
chr5:66548970-66557624:-					2											2			1																													1									2															
chr1:13225965-13226100:+																								1																																																
chr3:116363648-116374970:+																																																														1										
chr9:123238679-123270666:+																																																																	1							
chr12:55906876-55916286:+												1																																																												
chr2:90973101-90989650:-																																1																																								
chr7:25082576-25082746:-																																											1																													
chr1:178150699-178161591:-																1					2																																					2														
chr8:46964016-46964207:-																																										1																														
chr4:85033502-85036756:+																																															1																									
chr19:60859873-60861624:+				1																																																																				
chr1:97639448-97683696:-								1																																																																
chr10:23679656-23698916:+														1																																																										
chr12:108639548-108646148:+																																								1																																
chr11:94834559-94835234:+																																																					4																			
chr18:10740983-10763322:+																																																											2				1									
chr13:63208849-63216099:+		1				1		2	2								1	1			1			1								1	2								1	4	2		1	1					2					3							1	1								
chr11:8428225-8469570:-											1																																																													
chr16:30174571-30181567:-																										1											1																																			
chr4:86576818-86578506:-																																																										1														
chr1:36511529-36511676:-						1																																																																		
chr10:125130464-125177719:-											1																										1																																			
chr10:43865090-43875343:-																									1				1						1																																					
chr19:28497007-28497156:+																									1																																															
chr2:181482948-181493502:+																									1																																															
chr5:130260853-130265674:-																																																													1											
chr19:3832220-3836627:+											1							1											1																																											
chr11:60684044-60685207:+													1																																																											
chr8:13520346-13521502:+																	1																																																							
chr9:66166490-66167676:+																																																																		1						
chr17:74347382-74347690:+																																																																					1			
chr18:5062162-5086796:+													1																																																											
chr18:56569064-56569228:+																		1																																																						
chr7:101642520-101643426:+																																												3																												
chr7:142062072-142067442:+																																												2	2				3																			1				
chr17:25453954-25454601:-																																																		1																						
chr17:40157752-40157936:-																																																				8																				
chr6:128219364-128228949:-																																																					1																			
chr2:130280227-130280604:+																																	1																																							
chr7:142036165-142036431:-																																		1																																						
chr1:165174312-165195074:-																																																										1														
chr17:64203013-64241407:+													1																								1																																			
chr4:137331834-137334127:+																		1											1																																											
chr13:95474613-95474809:+																																																																	1							
chr9:113683241-113725853:+																																1																																								
chr1:40028130-40039909:+																																																1																								
chr15:57824239-57827320:+																																																								1																
chr4:20008210-20028483:+																																												1																												
chr8:68335633-68356827:-																																																		1																						
chr6:30487374-30492721:-																																																															1									
chr19:44079372-44088658:-												1																																																												
chr17:5937272-5970948:+															1																																		1								1															
chr2:126665896-126668863:-																																											1																													
chr1:80593009-80626049:-																						1																																							1											
chr8:122716694-122718442:+																																									1																															
chr18:75247861-75284309:+																																										1																			1											
chr18:35714650-35717934:+												1																																																												
chr7:117792673-117795154:-													1				1												1																									1																		
chr4:148565322-148576223:+															1					1																																																				
chr18:67777379-67781316:+																											1							1																		1	1																			
chr2:78744018-78750553:+														1	3							1		2	1		2						2						2						3		1	1					1					2			2	2				2					4	
chr5:123236238-123238016:+																								1																																																
chr14:20489733-20523397:-																										1																																														
chr3:20026876-20029050:-																				1																																																				
chr12:84981419-84981801:-																																						1																																		1
chr17:47914896-47915266:-																																						1																																		1
chr10:76446863-76447835:-																																												2																												
chr11:67111705-67112410:-																																																								1																
chr2:79809589-79822052:-								2																																																																
chr12:84980993-84981136:+										1																																																														
chr8:68781904-68783888:+																1																																																								
chr1:179859070-179928837:+																																																																	1							
chr10:82238440-82238624:-																																																																			1					
chr18:50163382-50163525:+											1																																																													
chr19:27784193-27793006:-																																1																																								
chr1:130645549-130646452:+																																															1																									
chr1:178871302-178877943:-				1						1							1					2			2									1										1	1				2															1								
chr13:91302336-91311582:-																									1																																															
chr6:65048969-65050259:+																										1																																														
chr11:60347377-60350914:+																																			1																																					
chr11:76837131-76840877:-																																									1																															
chr5:45904398-45952700:-																																													2															1											3	
chr11:116153686-116154123:-											1			1	1																								2	1																	1								1							
chr16:7111934-7225903:+																1																												1							1					1									1							
chr1:162533654-162533790:-																																																											1													
chr16:17888027-17888852:+																																																												1												
chr17:33868569-33884619:-																			1																																																					
chr2:119750107-119765817:+																																														1																										
chr16:77298391-77393847:+																																																						2																		
chr16:36732234-36740158:+			2																																																																					
chr1:82877386-82877529:+				1																																																																				
chr3:108568671-108569349:+									1																																																															
chr9:60283236-60346999:-																																				1																																				
chr14:72800924-72822284:-		1	2			2	2			1					3	2		2		1				5			2				1						2	2	2		1	3			1			1	3		2			1	3	1		2					1							4	1	2
chr2:31494626-31495355:+			2			3	1	3		1	4				1		4		1	1				1	3						2				1		1	2	1					2	1					1	3					1	1	1							1				1	1	3	2
chr16:95521673-95521818:-																																			1																																					
chr17:10428470-10457965:-																																																																							1	
chr7:76094588-76103917:+																																									1																	1														
chr13:95844386-95870459:-																																																		1																						
chr10:12566474-12566641:-																																																																1								
chr5:120278269-120282178:+					1																																																																2			
chr3:151159900-151160085:+								1																																																																
chr5:110397197-110402270:+																	1																																																							
chr18:9997173-10005053:-																								1																																																
chr2:48045328-48045904:-																																																					1																			
chr11:98048706-98057172:+									1																																																															
chr14:31449592-31470800:-										1																																						1			1																					
chr8:106984015-106986571:-																1																																																								
chr11:77708445-77709104:+							1																																																																	
chr8:110280116-110280826:+																																																2																								
chr15:27616410-27623444:-																																																								1																
chr2:128828738-128828946:-																					1																																																			
chr7:115959231-115967424:-						2		1	1	2	3			2		1		2	1				2					1									2	1	1					1				5				1	2	2	1						2	1					1		1		2	1
chr3:103643957-103644306:-								1																					1																																											
chr5:104022069-104024155:-									1																	2	1								1																																					
chr5:50006397-50053859:-																																													1																											
chr2:140466292-140476599:+																																																																	1							
chr8:47260257-47260433:+								3																																																																
chr6:115416801-115440246:+										1																							2																																				2			
chr16:11621403-11623447:-												1																																																												
chrX:11123871-11222059:-																																														1																										
chr1:161068690-161068933:+																																																1																								
chr5:120637123-120641491:-																																																																			1					
chr17:87742504-87743362:-								1					1																																									1																		
chr2:152149909-152150351:+																																	2																																							
chr10:67059788-67076720:+																																												1																												
chr1:162556401-162559900:-																																																	1																							
chr11:23283439-23313188:+																																																			1																					
chr11:78157177-78157545:+																																																																	1							
chr6:11959928-11962788:+																																																																					2			
chr17:33797234-33798972:+																																																																						1		
chr4:142137768-142138655:-															1			1																																																						
chr6:17852257-17906509:+																								1																																																
chr12:57115435-57206059:-																																		1																																						
chr3:97599637-97625657:-						1																																																																		
chr2:31896701-31900377:+																1																																																								
chr3:95387506-95398481:+			1																																																																					
chr17:88891281-88895367:+												1																																																												
chr19:6438767-6443953:+																																																																	1							
chr4:119417800-119443021:+				1									1																1					1																	1																					
chr5:116237524-116335954:+																																	1																																							
chr2:52150553-52153590:+																																																																					1			
chr15:85271192-85277707:+					3		1			2		1					1						2	1																																1		1														
chr7:79862544-79862707:+																																							1																																	
chr1:30876186-30985720:-																																									1																															
chr2:52216682-52216971:-																																																							1																	
chr2:24737956-24753941:-																																													1																											
chr15:98548025-98548870:-																																																																		1						
chr13:77254095-77274833:-											1																																																													
chr8:39530345-39538670:+																			1	1												1						1	1												1																					1
chr5:137311613-137311970:-																																									1																															
chr7:122771369-122771539:+																														1																																										
chr10:89609942-89623147:+																																																																						1		
chr13:49245712-49256438:-																																																																							1	
chr18:12704957-12713436:+															1																																																									
chr10:17968593-17972084:+																			1																											1											1		1													
chr4:32763157-32768827:+																											1																																													
chr2:37851653-37893486:-							1																																																																	
chr11:69805633-69805871:+											1																																																													
chr13:46768726-46793598:+																																																					1																			
chr9:56831686-56831850:-																																																						1																		
chr8:106508912-106513426:-									2																																																															
chr19:16687635-16703057:-										1						1																																																								
chr5:65780323-65795245:-																																																		1																						
chr5:96246104-96276887:-														1					1																																																					
chr11:67149733-67150013:+																						1											2																																							
chr17:66118350-66120514:+																										2																									1																					
chr15:35472029-35654930:+																													1																												1															
chr17:71770757-71772664:-																																	1																																							
chr3:27192997-27195848:-				2							1																																																													
chr15:99717375-99724718:-							1			1	1					1	1						2	2						2		2					2			3					1		1									1		2								1	1			1		
chr5:102020698-102023875:-												1																																																												
chr12:84227894-84228047:+																																																1																								
chr6:90350693-90361234:+																																																								1																
chr2:168039883-168040833:-																																							1														1								1										1	
chr1:60744025-60744177:+																																										1																														
chr4:100265010-100269337:+				1							1				1																																	1						3								1										
chr17:66110206-66118384:+																											2																																													
chr15:101312036-101314162:+																																2																																								
chr12:33391920-33408847:+																			1																																																					
chr5:23690345-23691398:+																												1																																												
chr11:100386686-100389588:-					1																																																1																			
chr4:83372191-83385258:+								1																														1																																		1
chr5:135463095-135465363:-										1									1						1												1																		1		1												2	1		
chr8:13310552-13311106:+						1																																																																		
chr6:99412177-99459786:-																																												1																												
chr4:130490065-130501915:+																																													1																											
chr9:123371409-123381882:+					2											1																																																				1				
chr11:58990516-58997396:-						15														1									1				6																						1											9		14			3	
chr5:21202781-21210413:-																																																														1										
chr14:6175090-6188023:-												1																																																												
chr4:32691180-32691824:+																																						1																																		1
chr14:65948861-65949087:+																																							1																																	
chr3:95408862-95409017:+																																																1																								
chr6:35163368-35168973:+																			1										1		1									1			1		1																			2							1	
chr17:81696239-81753022:-																												2																																												
chr9:120779239-120788595:+																																														1															1										1	
chr7:101019139-101019742:-																																																						1																		
chr7:27880934-27884861:+																																																																	1						2	
chr1:168156132-168156472:-																																																																						1		
chr18:65580624-65581428:+								1																																																																
chr5:31348709-31348954:-																							1																																																	
chr18:67628210-67630384:-																													1																																											
chr9:95861188-95873340:+																											1																																													
chr5:87828774-87830077:-																																										3																												1		
chr7:111679379-111685314:+																																													2																										1	
chr17:63785836-63785987:+								1																																																																
chr2:62402919-62403639:-											1																																																													
chr4:97694168-97694303:-													1												1																																															
chr17:25826503-25831418:+																																																																						1		
chr5:124055263-124065531:+																																																																							1	
chr11:106143378-106143523:-																									1																																															
chr2:70617221-70630832:-																																1																																								
chr2:24746618-24774714:-																																											1																									1				
chr4:137810204-137818716:+																																																	1																							
chr3:138186449-138194024:-																1																																																								
chr17:24027040-24029020:+																		1																																																						
chr3:96779793-96800920:-																					1																																																			
chr19:55063003-55086059:-																						1																																																		
chr11:102325610-102325982:+																																																																				1				
chrX:48140609-48151226:-																		2																																								1														
chr7:141563990-141570242:-																																																													1	1										
chr2:11493537-11498839:-																																																																1								
chr7:28979034-28979182:-																																																															1									
chr11:95639826-95655153:+										1										1																																																				
chr7:106202462-106202617:-																																									1																															
chr13:97326253-97326395:+																																																									1															
chr11:67072839-67074429:+		6																																																																						
chr3:129793161-129805521:-																																																													1											
chr19:36826689-36843523:+																																																															1									
chr6:30241371-30268859:-																							1																																			1														
chr8:110405544-110406079:+																														1																																										
chr13:13823125-13838698:+																																																																							1	
chr16:70413322-70418094:+																																																1																								
chr16:17511056-17511214:+																																																																1								
chr17:74965173-74977377:+																																																																			1					
chr15:12150259-12156494:+																																		1																																						
chr16:32431986-32443644:+																																																																						2		
chr4:46584374-46584543:+				1																																																																				
chr7:96517157-96523738:+																						1																																																		
chr9:83834336-83894672:+																								1																																																
chr12:69297527-69316652:+																																																																			1					
chr1:87291826-87356450:+																																																																						1		
chr19:57237575-57240112:-													1																																1																											
chr8:125424733-125426460:-																																															1																									
chr19:4921625-4922386:-																		1																																																						
chr12:83919245-83926863:-																																			1																																					
chr10:88358829-88411742:-																																				1																																				
chr1:181019326-181026509:-																																																													1											
chr2:5445693-5445957:-																																																																			1					
chr5:34286447-34290534:-					1																																			1																																
chr14:123209152-123210697:-											1	1							1	3		1									1	1						1												1								1				1		1								1
chr2:69744758-69747579:+																								1																																													2			
chr11:30806030-30824280:+																						1																																																		
chr8:13627360-13627889:-																																								1																																
chr11:77440098-77462524:-																																																			1																					
chr17:74864896-74873169:+																																																																		1						
chr8:47025787-47058161:+									2																																																															
chr2:157834888-157851271:-										1																																																														
chr4:150695311-150697203:+																		1																																								1												1		
chr1:151255134-151260255:-																															2																																	1								
chr10:23102700-23199044:-																															1	1																																								
chr18:25364561-25478019:+																																													1																											
chr13:114191010-114191148:-																																																1																								
chr11:97117555-97125941:-																																																														2										
chr7:19212234-19218659:+								1																				1																									1			1																
chr3:32915920-32973219:+																							1																																																	
chr8:22904732-22905019:+																										2																																														
chr8:111854875-111856327:+																																																														1										
chr5:113323071-113341773:-			1			2	1												1			1																		1					1								1										1							1		
chr6:65858033-65878843:+				1												1																																																							2	
chr9:89876724-89880842:+																							1																																																	
chr4:41717379-41719903:+																						1																																																		
chr9:71612430-71624779:-																								1						1																																										
chr15:101091813-101096895:+																										1										1																				1																
chr1:60303438-60344523:+																											1								1																																					
chr6:65060788-65091415:+																																							1																																	
chr13:63661630-63662055:-																																														2																										
chr16:13515197-13516939:+								2				1	2				1												1			1																	1				2												1							
chr4:149468195-149483242:-													1													1																																														
chr17:71371443-71387890:+																						1																													1																					
chr3:63851987-63861425:-																																								1																																
chr18:9345194-9377828:-			2													1																																		1											3											
chr11:84908456-84921390:-											2																																							1																						
chr2:142679437-142691926:-																																																									1															
chr2:76656419-76657405:-																						1																																																		
chr17:22998381-23035357:-																									2																																															
chr1:159895804-159895955:-																																												2																												
chr1:39597396-39604413:-																															1									1																																
chr18:34479255-34479398:+																																1									1																															
chr7:55537570-55548139:+																																					1																																			
chr7:126395389-126396720:-																																						1																																		1
chrX:49684338-49697691:-				2																																																																				
chr2:130529874-130533391:-																				1																																																				
chr3:66395816-66397064:+																					1																																																			
chr3:132460157-132460357:-																																	1																																							
chr3:116570178-116578289:-											1					1																																																								
chr8:96478369-96479778:-												1			1																																																									
chr9:32639971-32645484:+																									1													1												1	1																					1
chr15:3456037-3487490:-																														1																																										
chr2:50245037-50260056:+																																												1																												
chr18:25532983-25570845:+																																																	1																							
chr14:31109676-31133626:-																																																																							1	
chr1:80249241-80261538:-																			1																																																					
chr5:77491289-77491957:+																					1																																																			
chr1:16415928-16579632:-																												1									1	2				1															1															2
chr2:5984585-5993283:+																																		1																																						
chr16:96840098-96857965:-				1	1				2					1						1		2					1										1	2	1								2	6		1	4							2				1										2
chr10:5386739-5406868:-										1																																																														
chr2:91331334-91332391:+																1																																																								
chr11:80278628-80294488:+											1																																																													
chr4:40807251-40807786:-											1																												1																																	
chr5:31817251-31830789:-												1																				1																																								
chr5:65791515-65823654:-																													1																																											
chr10:89505507-89514344:-																																																	1							1																
chr12:100461531-100466489:-					1			2			1												1				1						1						2																																	
chr15:4064742-4089478:+												1							2			1											2											1		3					1						1			1			1									
chr7:109863087-109869288:+																					2																																																			
chr8:91725124-91753515:+																																												1																												
chr6:85199922-85200100:+																																																			1																					
chr7:45105047-45105406:+																																																							1																	
chr19:38512359-38513896:+		3	3	1		2	2	3		5	7						1	4	2			3		3			2	3	2		5	2			7		2		2	1	1	4	1	5		3	2	5	4	3	5			2		6	1	3	1		1	3		2	4	2	2			1	6	
chr8:89059107-89084657:-		1																																																																						
chr2:146229148-146266774:-									1																																																															
chr9:101063687-101063835:-																																					1																																			
chr7:49011846-49047903:+																																							1																																	
chr7:143086046-143089776:-																																										1																														
chr1:125494205-125507064:+																																																			1																					
chr2:24765626-24767638:-																																																							1																	
chr9:72917579-72922711:+							1																										1	2																							1															
chr4:98344367-98357841:+												1					1																	1																					1			1						1								
chr16:7042175-7148306:+																1																																																								
chr9:110431305-110433299:+																																		2															1		1																1					
chr6:85584454-85587918:+																																																					1																			
chr6:5111000-5115480:+							1																																																																	
chr5:132059829-132079248:-															1																						1																																			
chr7:66328828-66331556:-																																	1																																							
chr14:26333122-26338113:+																		1													1				1		1					1									1																					
chr3:151926904-151940207:+														1																																																										
chr7:109513928-109518684:-																																	1																																							
chr11:107536876-107540166:+																																																			1																					
chr12:80444427-80451472:-							1	1				1	1	1				2	1	4					3				2		1		1										1																	1										1		
chr6:85318034-85319043:-												2			1	2													2																				1		3																					
chr2:25844185-25844390:-													1																																																											
chr16:35539682-35554436:-																																																							1																	
chr12:3784939-3801907:+																																																																				3				
chr17:28943718-28956064:+													2																1								2																																			
chr1:58511464-58532909:-																	1																																																							
chr9:36847617-36994572:-																											1																																													
chr9:107664451-107704090:-																							2																																																	
chr1:183085613-183099869:+																															1																																									
chr8:94725879-94726932:+																																						1																																		1
chr17:57525834-57527202:-																																																																		2						
chr18:13004135-13025346:-						2																																	2																				1													
chr10:30463435-30473801:-															1			2																																								1				1										
chr5:24902003-24903769:+																				1																																																				
chr15:55075588-55081669:+																											1																																													
chr12:101970296-101970527:+																													1																																											
chr2:126922450-126928862:+																																						1													1																					1
chr14:73499969-73520418:-				1														1	2	3		1			2							1		1							1		1					1									2															
chr16:90663143-90666577:+										1																																																														
chr4:155732817-155732981:-											1																																																													
chr8:128131856-128201096:+																																																																			1					
chr11:83255621-83260608:+																	1																																1																1							
chr17:52074920-52116315:-																							1																																			1														
chr2:92044394-92189554:+																																																																1								
chr2:128148895-128149039:-													1																																																											
chr12:4363026-4389184:-																																												1																												
chr13:91170689-91177609:-				1	1													1	2												2	1		1											1					1								1														
chrX:81879301-81884741:+																2																																																								
chr16:91412490-91412627:+																1																																																								
chr4:135145677-135145816:+																														1																																										
chr2:104481987-104489680:+																																																	2																							
chr4:98314250-98344501:+																																																		1																						
chr6:84114200-84129391:+																									1																																								1				2		1	
chr17:35616043-35781998:+																																					2																																	5		
chr19:44385838-44386170:-																																						1																																		1
chr11:60612607-60613167:+																																																			1																					
chr13:25019999-25024541:+																																																			1													1								
chr15:79313912-79323059:-																			1																																																					
chr3:88798120-88809028:+																				1																												2																								
chr2:172395961-172398129:+																								1																																																
chr7:126055892-126057160:-																																																					1																			
chr2:76567995-76568195:+																																				1																																				
chr4:109218360-109242759:+																																																	1						2																	
chr16:13954802-13960521:-																																																								1																
chr4:126248799-126257623:-																			1																																																					
chr15:79173331-79186897:-																																		1																																						
chr11:49103522-49106625:+																	1																																												1											
chr8:73825458-73843113:-																1																																																								
chr7:97869180-97869316:+																																											2																													
chr7:105039538-105039775:-																																																	1																							
chr6:142974886-143007587:-																		1	1																															2																						
chr17:66284816-66284969:-																			1																																																					
chr10:81144782-81145081:+																					3																																																			
chr17:29024903-29043040:+																																1																																								
chr11:76702521-76705739:-																																			1							1																														
chr8:13515821-13516681:+						1																																																																		
chr4:8751324-8785763:+										1		1	1			2			1		1				2							2		1							1							1	1	1				1	2	1			1												1	
chr2:5987803-6015239:+															2							2					1										1													1																						
chr1:181130973-181131152:-																															1																																									
chr4:152105236-152107264:-																																														1																										
chr1:10258982-10270129:-																																																							3																	
chr11:23440487-23440720:-																																																																						1		
chrX:149285482-149305206:-				1																															1																																					
chr19:40351646-40381960:-																										2						1																																								
chr5:27949081-27986463:-																													1																																											
chr9:78042878-78048555:+																	1																																																							
chr16:87208507-87220466:-																																											1																													
chr2:120352846-120357731:+																																																							1																	
chr2:34325145-34334418:+				1						1		1	2	1		2															1				1						1			1					1																						3	
chr4:82268626-82417006:-				1						1				3			5			1					3					1			1				4		3		1			2							2							1														
chr11:62037132-62052736:+								1					1																												1							1																						1		
chr11:75384640-75385692:+										1																																																												1	1	
chr9:62820553-62820899:+																																																																	1							
chr2:59778431-59809045:-																																						1																																		1
chr5:122856376-122857289:+																																									1																															
chr5:36682274-36735116:-																																																																						1		
chr15:88979933-88980741:+													1																																																											
chr15:77680203-77692167:+																																						1																																		1
chrX:100708250-100711765:+																															1																																									
chr19:32188228-32329423:-											1																																																													
chr5:107553898-107567745:+															1																																																									
chr5:111483361-111486294:+																1																																																								
chr9:108801967-108802167:+																																																																	1							
chr17:53931380-53951764:+									1																																																															
chr11:68918080-68918890:+										1																																																							1					1		
chr1:93195849-93200819:-																								1								1																																								
chr14:79219676-79275641:+																																	1																				1														1					
chr17:80173153-80183475:-																																												1																												
chr1:159067132-159105716:+																																																															1									
chr12:84484402-84484640:-																																																																1								
chr2:52203130-52203892:-											1					4					2																				2															1																
chr8:106513259-106526945:-																									1																																															
chr3:88810064-88810408:+																														1														1		1					1													1								
chr9:72593343-72625666:+							1																																																																	
chr10:12357061-12362171:+										1																																																														
chr7:45198654-45199389:+														1																		1														3																										
chr9:117018487-117018625:+															1																																																									
